0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:32:21 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:32:22 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:32:22 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:32:22 +0530] "GET /project1/resources/images/73.png HTTP/1.1" 200 43364
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:33:38 +0530] "GET /project1/all/product/viewproduct/73 HTTP/1.1" 200 4387
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:33:38 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:33:39 +0530] "GET /project1/resources/images/73.png HTTP/1.1" 200 43364
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:33:39 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:33:39 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:34:54 +0530] "GET /project1/all/product/viewproduct/73 HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:34:55 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:34:55 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:34:55 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:34:55 +0530] "GET /project1/resources/images/73.png HTTP/1.1" 200 43364
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:35:32 +0530] "GET /project1/all/product/viewproduct/73 HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:35:32 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:35:33 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:35:33 +0530] "GET /project1/resources/images/73.png HTTP/1.1" 200 43364
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:35:33 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:35:57 +0530] "GET /project1/all/product/viewproduct/73 HTTP/1.1" 200 4380
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:35:57 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:35:57 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:35:57 +0530] "GET /project1/resources/images/73.png HTTP/1.1" 200 43364
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:35:57 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:36:26 +0530] "GET /project1/all/product/viewproduct/73 HTTP/1.1" 200 4375
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:36:26 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:36:26 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:36:26 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:36:26 +0530] "GET /project1/resources/images/73.png HTTP/1.1" 200 43364
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:37:17 +0530] "GET /project1/all/product/viewproduct/73 HTTP/1.1" 200 4365
